dwc:taxonID	dcterms:language	dwc:vernacularName
466LM	eng	Fly river gizzard shad
466LM	eng	Fly river herring
466LG	eng	Arabian gizzard shad
466LW	eng	Arabian gizzard shad
466LW	eng	Bloch's gizzard shad
466LW	eng	Gulf gizzard shad
466LV	eng	Bloch's gizzard shad
466LV	eng	Persara gizzard shad
6XMKV	eng	Australian pilchard
6XMKV	eng	Australian pilchard
6XMKV	eng	Bloater
6XMKV	eng	Blue pilchard
6XMKV	eng	Blue-bait
6XMKV	eng	California pilchard
6XMKV	eng	California sardine
6XMKV	eng	Californian pilchard
6XMKV	eng	Chilean pilchard
6XMKV	eng	Chilean sardine
6XMKV	eng	Japanese pilchard
6XMKV	eng	Japanese sardine
6XMKV	eng	Mulies
6XMKV	eng	Pacific american sardine
6XMKV	eng	Pacific sardine
6XMKV	eng	Pacific sardine
6XMKV	eng	Pacific sardine
6XMKV	eng	Pacific sardine
6XMKV	eng	Picton herring
6XMKV	eng	Picton herring
6XMKV	eng	Pilchard
6XMKV	eng	Pilchard
6XMKV	eng	Pilchard
6XMKV	eng	Pilchard
6XMKV	eng	Pilchard
6XMKV	eng	Pilchard
6XMKV	eng	Sardina
74QVF	eng	Sprat
6XMKV	eng	Sardine
6XMKV	eng	Sardine
6XMKV	eng	Sardine
6XMKV	eng	Smig
6XMKV	eng	South American pilchard
6XMKV	eng	South American pilchard
6XMKV	eng	Southern African pilchard
6XMKV	eng	Spotlined sardine
6XMKV	eng	Westralian pilchard
3G2JM	eng	Estuarine round-herring
3G2JM	eng	Gilchrist's round herring
5WQZY	eng	Atlantic menhaden
5WQZY	eng	Atlantic menhaden
5WQZY	eng	Bony fish
5WQZY	eng	Bugfish
5WQZY	eng	Bugfish
5WQZY	eng	Bunker
5WQZY	eng	Fatback
5WQZY	eng	Fatback
5WQZY	eng	Menhadem
5WQZY	eng	Menhaden
5WQZY	eng	Moss bunker
5WQZY	eng	Mossbunker
5WQZY	eng	Pogy
5WQZY	eng	Whitefish
5X2ZZ	eng	Argentine menhaden
5X2ZZ	eng	Brazilian menhaden
692ZT	eng	Brazilian menhaden
692ZT	eng	Brazilian menhaden
5X2ZS	eng	Finescale menhaden
5X2ZS	eng	Finescale menhaden
5X2ZS	eng	Menhaden
5WQZZ	eng	Bunker
5WQZZ	eng	Gulf menhaden
5WQZZ	eng	Gulf menhaden
5WQZZ	eng	Large-scale menhaden
5WQZZ	eng	Largescale menhaden
5WQZZ	eng	Largescale menhaden
5WQZZ	eng	Menhaden
5WQZZ	eng	Moss bunker
5WQZZ	eng	Pogy
5WQZZ	eng	Shad
692ZZ	eng	Menhaden
692ZZ	eng	Yellowfin menhaden
692ZZ	eng	Yellowfin menhaden
6DGCX	eng	Threadfin shad
6DGCX	eng	Threadfin shad
6DGCX	eng	Threadfin shad
6DGCX	eng	Threadfin shad
6DGCX	eng	Threadfin shad
6DGCX	eng	Threadfin shad
6DGD5	eng	American gizzard shad
6DGD5	eng	Eastern gizzard shad
6DGD5	eng	Gizzard mud
6DGD5	eng	Gizzard nanny shad
6DGD5	eng	Gizzard shad
6DGD5	eng	Gizzard shad
6DGD5	eng	Gizzard shad
6DGD5	eng	Gizzard winter shad
6DGD5	eng	Hickory shad
6DGD5	eng	Mud shad
6DGD5	eng	Nanny shad
6DGD5	eng	Skipjack
6DGD5	eng	Winter shad
6DGD9	eng	Pacific gizzard shad
6DGD9	eng	Pacific gizzard shad
6DGD9	eng	Pacific gizzard shad
6DGCV	eng	Nicaragua gizzard shad
6DGCT	eng	Longfin gizzard shad
6DGCT	eng	Longfin gizzard shad
6DGCT	eng	Mexican river gizzard shad
6DYQJ	eng	Malabar sprat
6DYQJ	eng	Malabar sprat
6DYQJ	eng	Malabar sprat
4X9VX	eng	West African pygmy herring
3BHKS	eng	Deep herring
3BHKS	eng	Deep-bodied herring
74QVF	eng	Sprat
3BHKS	eng	Northern herring
3BHKS	eng	Sardine
3BHKS	eng	White herring
3BHKS	eng	White sardine
3BHKS	eng	White sardine
3BHKS	eng	White sardine
3BHKS	eng	White sardine
3BHKR	eng	Slender white sardine
WCWQ	eng	Papuan river sprat
WCWQ	eng	Toothed river herring
WCWQ	eng	Toothed river herring
WCWQ	eng	Toothed river-herring
WCWK	eng	Borneo river sprat
WCWM	eng	Kalimantan river sprat
WCWR	eng	River sprat
WCWR	eng	West Irian river sprat
WCWR	eng	West Irian river sprat
WCW6	eng	Kapuas river sprat
WCW8	eng	Perak river sprat
WCW5	eng	Thai river sprat
WCW7	eng	Sumatran river sprat
6B2VG	eng	Ganga river-sprat
6B2VG	eng	Ganges river sprat
6B2VG	eng	Ganges river sprat
6B2VG	eng	Hamilton's corica
6B2VG	eng	Shad
6B3FK	eng	Bangkok river sprat
XLNK	eng	Smooth-belly pellonuline
XLNK	eng	Smoothbelly pellonuline
45MSX	eng	Lake Tumba dwarf sprat
45MSY	eng	Mai-ndombe dwarf sprat
74QVF	eng	Atlantic Thread Herring
74QVF	eng	Atlantic thread herring
74QVF	eng	Atlantic thread herring
74QVF	eng	Atlantic thread herring
74QVF	eng	Atlantic thread herring
74QVF	eng	Atlantic thread herring
74QVF	eng	Atlantic thread herring
74QVF	eng	Atlantic thread herring
74QVF	eng	Bermuda herring
74QVF	eng	Hairy back
74QVF	eng	Harryback
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread herring
74QVF	eng	Thread-herring
6SR7F	eng	Deep-bodied Pacific thread herring
6SR7F	eng	Deep-bodied thread herring
6SR7F	eng	Deepbody thread herring
6SR7F	eng	Deepbody thread herring
6SR7F	eng	Pacific thread herring
6SR7F	eng	Pacific thread herring
6SR7F	eng	Thread herring
7537G	eng	Slender thread herring
7537G	eng	Slender thread herring
6T37F	eng	Middling thread herring
6T37F	eng	Middling thread herring
752VG	eng	Galapagos thread herring
752VG	eng	Pacific thread herring
76BFG	eng	Bigtoothed pellonula
76BGX	eng	Guinean sprat
76BGX	eng	Muffin sprat
76BGX	eng	Sardine
76BGX	eng	Smalltoothed pellonula
793DG	eng	Uruguay river sprat
78RDG	eng	Jenyns's sprat
4M37K	eng	Australian freshwater herring
4M37K	eng	Australian freshwater herring
4M37K	eng	Freshwater herring
4M37K	eng	Freshwater herring
4M37K	eng	Nepean herring
4M4PG	eng	Whitehead's sawtooth pellonuline
4M4PC	eng	Sharpnosed sawtooth pellonul.
4M4PC	eng	Sharpnosed sawtooth pellonuline
77VPC	eng	Bluntnosed sawtooth pellonuline
6VNVC	eng	River Plate sprat
4ZDQS	eng	Australian sprat
4ZDQS	eng	Australian sprat
4ZDQS	eng	Sprat
4ZDQS	eng	Sprat
4ZDQR	eng	New Zealand sprat
4ZDQR	eng	Sprats
4ZDQR	eng	Stout sprat
4ZDQN	eng	Falkland herring
4ZDQN	eng	Falkland sprat
4ZDQL	eng	New Zealand blueback sprat
4ZDQL	eng	New Zealand herring
4ZDQL	eng	New zealand sprat
4ZDQL	eng	Slender sprat
4ZDQL	eng	Sprat
4ZDQL	eng	Sprats
4ZDQT	eng	Garvie
4ZDQT	eng	Baltic sprat
4ZDQT	eng	Baltic sprat
4ZDQT	eng	Brisling
4ZDQT	eng	European sprat
4ZDQT	eng	Garvock
4ZDQT	eng	Russian sardine
4ZDQT	eng	Russlet
4ZDQT	eng	Whitebait
4ZDQT	eng	Sprat
4ZDQT	eng	Sprat
4ZDQT	eng	Sprat
4ZDQT	eng	Sprat
4ZDQT	eng	Sprat
52W72	eng	Araucanian herring
52W72	eng	Chilean herring
4ZDQ5	eng	Lewis' round herring
4ZDQ5	eng	Lewis' round herring
4ZDQ9	eng	Blue sardine
4ZDQ9	eng	Blue sprat
4ZDQ9	eng	Blue sprat
4ZDQ9	eng	Bluebait
4ZDQ9	eng	Fringe-scale round herring
4ZDQ9	eng	Fringe-scale round herring
4ZDQ9	eng	Sprat
4ZDQ3	eng	Banded blue sprat
4ZDQ3	eng	Banded blue sprat
4ZDQ3	eng	Silver round herring
4ZDQ3	eng	Silver sprat
4ZDQ3	eng	Silver sprat
4ZDQ3	eng	Silver stripe round herring
4ZDQ3	eng	Silver-stripe round herring
4ZDQ3	eng	Silver-stripe round herring
4ZDQ3	eng	Silverstriped round herring
4ZDQ3	eng	Slender roundherring
4ZDQ3	eng	Slender sprat
4ZDQ3	eng	Slender sprat
4ZDQ3	eng	Slender sprat
4ZDQ3	eng	Striped round herring
4ZDQ2	eng	Aol
4ZDQ2	eng	Banded blue sprat
4ZDQ2	eng	Blue sprat
4ZDQ2	eng	Blue sprat
4ZDQ2	eng	Blue-backed sprat
4ZDQ2	eng	Blue-backed sprat
4ZDQ2	eng	Blue-backed sprat
4ZDQ2	eng	Blueback sprat
4ZDQ2	eng	Bluebacked sprat
4ZDQ2	eng	Delicate round herring
4ZDQ2	eng	Delicate round herring
4ZDQ2	eng	Delicate round herring
4ZDQ2	eng	Delicate round herring
4ZDQ2	eng	Delicate round herring
4ZDQ2	eng	Delicate round herring
4ZDQ2	eng	Delicate roundherring
4ZDQ2	eng	Delicate roundherring
4ZDQ2	eng	Northern blue sprat
4ZDQ2	eng	Round herring
4ZDQ2	eng	Round herring
4ZDQ2	eng	Round herring
4ZDQ2	eng	Small round herring
4ZDQ2	eng	Sprat
4ZDQ2	eng	White bait
4ZDQ2	eng	Whitebait
6ZCVL	eng	Two-finned round herring
4S9SJ	eng	Bahia sprat
4S9SH	eng	Amazon spinejaw sprat
79MLD	eng	European pilchard
79MLD	eng	European pilchard
79MLD	eng	European pilchard(=Sardine)
79MLD	eng	Fair maid
79MLD	eng	Pilchard
79MLD	eng	Pilchard
79MLD	eng	Pilchard
79MLD	eng	Pilchard
79MLD	eng	Pilchard
79MLD	eng	Pilchard
79MLD	eng	Sardine
79MLD	eng	Sardine
79MLD	eng	Sardine
79MLD	eng	Sardine
7BQFJ	eng	Herring
79MLD	eng	Soused pilchards
79MLD	eng	True sardine
55B89	eng	Herring
55B89	eng	Hilsa herring
55B89	eng	Longtail shad
55B89	eng	Longtail shad
55B89	eng	Longtail shad
55B89	eng	Shad
55B89	eng	Small-mouth tenualosa
7BQFJ	eng	Hilsa herring
7BQFJ	eng	Reeve's shad
7BQFJ	eng	Reeve's shad
7BQFJ	eng	Reeves shad
7BQFJ	eng	Reeves shad
7BQFJ	eng	Seasonal shad
7BQFJ	eng	Shad
55B8C	eng	Laotian shad
55B8C	eng	Laotian shad
55B8C	eng	Laotian shad
55B8D	eng	Toli shad
55B8D	eng	Big-mouthed tenualosa
55B8D	eng	Chinese herring
55B8D	eng	Chinese herring
55B8D	eng	Chinese-herring
55B8D	eng	Giant herring
55B8D	eng	Herring
55B8D	eng	Hilsa herring
55B8D	eng	Toli shad
55B8D	eng	Toli shad
55B8D	eng	Toli shad
55B8D	eng	Toli shad
55B85	eng	Hilsa
55B85	eng	Hilsa
55B85	eng	Hilsa herring
55B85	eng	Hilsa shad
55B85	eng	Hilsa shad
55B85	eng	Hilsa shad
55B85	eng	Indian shad
55B85	eng	River shad
55B85	eng	River shad
3BLBW	eng	Bonga
3BLBW	eng	Bonga
3BLBW	eng	Bonga
3BLBW	eng	Bonga shad
3BLBW	eng	Bonga shad
3BLBW	eng	Malay sprat
3BLBW	eng	Rasoir
3BLBW	eng	Sardine
3BLBW	eng	Shad
3BLMB	eng	Menhaden
3BLMB	eng	Menhaden
3BLMB	eng	Pacific menhaden
3BLMB	eng	Pacific menhaden
3BLMB	eng	Shad
3HK4V	eng	Ganges shad
3HK4V	eng	Indian river shad
3HK4V	eng	Indian river shad
3HK4V	eng	Indian river shad
3HK4V	eng	River shad
3HK4X	eng	Burmese river shad
3HK4X	eng	Variegated herring
3GVD2	eng	Southern Burmese gizzard shad
3GVD2	eng	Southern Burmese river gizzard shad
3GVCX	eng	Ganges gizzard shad
3GVCX	eng	Ganges gizzard shad
3GVCX	eng	Ganges gizzard shad
3GVCX	eng	Ganges river gizzard shad
3GVCX	eng	Ganges river gizzard shad
3GVCX	eng	Gizzard shad
3GVCY	eng	Burmese river gizzard shad
3NQDP	eng	Glassy sprat
3NQDP	eng	Grassy sprat
3NQDP	eng	Translucent sprat
3NQDP	eng	Transparent sandy sprat
3NQDP	eng	Transparent sandy sprat
3NQDQ	eng	Glassy
3NQDQ	eng	Sandy sprat
3NQDQ	eng	Sandy sprat
3NQDQ	eng	Sandy sprat
3NQDQ	eng	White pilchard
3NQDQ	eng	Whitebait
6NMT7	eng	Dotted gizzard shad
6NMT7	eng	Dotted gizzard shad
6NMT7	eng	Dotted gizzard shad
6NMT7	eng	Gizzard shad
6NMT7	eng	Gizzard shad
6NMT7	eng	Gizzard shad
6NMT7	eng	Konoshiro gizzard shad
6NMT7	eng	Spotted sardine
6NMT7	eng	Spotted sardine
3QP4B	eng	Little-eye Herring
3QP4B	eng	Little-eye herring
3QP4B	eng	Little-eye round herring
3QP4B	eng	Slender herring
3QP4C	eng	Florida round herring
3QP4C	eng	Short-striped round herring
3QP4C	eng	Venezuelan herring
3QP49	eng	Blue fry
3QP49	eng	Blue fry
3QP49	eng	Dwarf Herring
3QP49	eng	Dwarf herring
3QP49	eng	Dwarf herring
3QP49	eng	Dwarf herring
3QP49	eng	Dwarf herring
3QP49	eng	Dwarf round herring
3QP49	eng	Fray
3QP49	eng	Green fry
3QP49	eng	Key sardine
3QP49	eng	Small herring
3QP49	eng	Sprat
3QP49	eng	Sweethead fry
6NG2X	eng	Dwarf herring
6NG2X	eng	Dwarf round herring
6NG2X	eng	Florida round herring
6NG2X	eng	Green fry
6NG2X	eng	Herring
6NG2X	eng	Shortband herring
6NG2X	eng	Shortband herring
6NG2X	eng	Silverlined herring
3JQR5	eng	Guiana harring
3JQR5	eng	Guiana harring
3JQR5	eng	Guiana harring
3JQR5	eng	Hardback herring
3JQR5	eng	Herring
3JQR5	eng	Pilchard
3JQR5	eng	Redear herring
3JQR5	eng	Sardine
3JQR5	eng	Scaled Sardine
3JQR5	eng	Scaled herring
3JQR5	eng	Scaled sardine
3JQR5	eng	Scaled sardine
3JQR5	eng	Scaled sardine
3JQR5	eng	Scaled sardine
3JQR5	eng	Scaled sardine
3JQR2	eng	Loose-scaled sardine
3JQR2	eng	Pilchard
3JQR2	eng	Pilchard
3JQR2	eng	Pincers
3JQR2	eng	Reader sardine
3JQR2	eng	Red-ear pilchard
3JQR2	eng	Red-ear pilchard
3JQR2	eng	Red-ear pilchard
3JQR2	eng	Red-ear pilchard
3JQR2	eng	Red-ear sardine
3JQR2	eng	Red-ear sardine
3JQR2	eng	Red-ear sardine
3JQR2	eng	Red-ear sardine
3JQR2	eng	Redear Sardine
3JQR2	eng	Redear herring
3JQR2	eng	Redear sardine
3JQR2	eng	Redear sardine
3JQR2	eng	Sardientje
3JQR2	eng	Sardine
3JQR2	eng	Sardine
3JQR2	eng	Sardine
3JQR2	eng	Sardine
3JQR2	eng	Sprat
3JQR2	eng	Sprat
3JQR2	eng	Whitebill
3JQR2	eng	Whitebill
3JQR2	eng	Yellow bill
3JQR2	eng	Yellowbill sprat
3JQS5	eng	Flatiron herring
3JQS5	eng	Flatiron herring
3JQS5	eng	Herring
3JQS5	eng	Pacific flatiron herring
3JQQR	eng	Blackbill sprat
3JQQR	eng	False herring
3JQQR	eng	False pilchard
3JQQR	eng	False pilchard
3JQQR	eng	False pilchard
3JQQR	eng	False pilchard
3JQQR	eng	False pilchard
3JQQR	eng	Pilchard sprat
3JQQR	eng	Red-ear pilchard
3JQQR	eng	Sardine
3LXJB	eng	Five spot herring
3LXJB	eng	Five-spot herring
3LXJB	eng	Flat herring
3LXJB	eng	Herring
3LXJB	eng	Hilsa herring
3LXJB	eng	Hilsa shad
3LXJB	eng	Kelee
3LXJB	eng	Kelee shad
3LXJB	eng	Kelee shad
3LXJB	eng	Kelee shad
3LXJB	eng	Kelee shad
3LXJB	eng	Kelee shad
3LXJB	eng	Kelee shad
3LXJB	eng	Shad
72CMT	eng	Kapenta
72CMT	eng	Lake Tanganyika sardine
72CMT	eng	Lake Tanganyika sardine
72CMT	eng	Lake Tanganyika sardine
72CMT	eng	Lake tanganyika sardine
72CMT	eng	Stapper's sprat
4PTPL	eng	Anchovy
4PTPL	eng	Wingfin anchovy
CKLR	eng	Rio Negro pygmy anchovy
56NJV	eng	Oblique-jaw thryssa
56NJV	eng	Slender thryssa
56NK2	eng	Moustached thryssa
56NK2	eng	Oblique-jaw thryssa
56NK2	eng	Whitehead's thryssa
56NJR	eng	Fly river thryssa
56NJR	eng	Fly river thryssa
56NJJ	eng	Humphead thryssa
56NJC	eng	Marasri's thryssa
56NJC	eng	Marasri's thryssa
56NJC	eng	Short-tail thryssa
56NJ7	eng	Godavari thryssa
56NJ7	eng	Kammal thryssa
56NJ2	eng	Gautama thryssa
56NHW	eng	Day's thryssa
56NHW	eng	Moustached thryssa
56NHW	eng	Oblique-jaw thryssa
56NHT	eng	Short-tail thryssa
56NHT	eng	Short-tail thryssa
7C9LH	eng	Bengal thryssa
7C9LH	eng	Bengal thryssa
7C9LH	eng	Thryssa
56NJZ	eng	Malabar thryssa
56NJZ	eng	Orangemouth anchovy
56NJZ	eng	Orangemouth glassnose
56NJZ	eng	Orangemouth glassnose
56NJ6	eng	Kammal thryssa
56NJ6	eng	Kammal thryssa
56NJ6	eng	Kammal thryssa
56NJ6	eng	Madura anchovy
56NJ6	eng	Malabar thryssa
56NJ6	eng	Thryssa
56NJB	eng	Malabar anchovy
56NJB	eng	Malabar thryssa
56NJB	eng	Malabar thryssa
56NJB	eng	Malbar anchovy
56NJB	eng	Moustaced thryssa
56NHZ	eng	Anchovy
56NHZ	eng	Baelama anchovy
56NHZ	eng	False baelama anchovy
56NHZ	eng	False baelama anchovy
56NHZ	eng	New jersey anchovy
56NJ3	eng	Hamilton's anchovy
56NJ3	eng	Hamilton's anchovy
56NJ3	eng	Hamilton's anchovy
56NJ3	eng	Hamilton's thryssa
56NJ3	eng	Hamilton's thryssa
56NJ3	eng	Hamilton's thryssa
56NJ3	eng	Hamilton's thryssa
56NJ3	eng	Hamilton's thryssa
56NJ3	eng	Moustached thryssa
56NJ3	eng	Northern anchovy
56NJ3	eng	Thryssa
56NJS	eng	Freshwater Anchovy
56NJS	eng	Freshwater anchovy
56NJS	eng	Freshwater anchovy
56NJS	eng	Freshwater anchovy
56NJS	eng	Freshwater thryssa
56NJS	eng	New Guinea thryssa
56NJS	eng	New Guinea thryssa
56NJT	eng	Anchovy
56NJT	eng	Long-horned anchovy
56NJT	eng	Long-horned anchovy
56NJT	eng	Long-jaw anchovy
56NJT	eng	Longjaw glassnose
56NJT	eng	Longjaw thryssa
56NJT	eng	Longjaw thryssa
56NJT	eng	Longjaw thryssa
56NJT	eng	Longjaw thryssa
56NJT	eng	Longjaw thryssa
56NJT	eng	Orangemouth thryssa
56NJT	eng	Thryssa
56NJH	eng	Anchovy
56NJH	eng	Gangetic anchovy
56NJH	eng	Moustached thryssa
56NJH	eng	Moustached thryssa
56NJH	eng	Moustached thryssa
56NJH	eng	Moustached thryssa
56NJH	eng	Moustached thryssa
56NJH	eng	Mustached anchovy
56NJH	eng	Mustached anchovy
56NJH	eng	Mustached thryssa
56NJQ	eng	Anchovy
56NJQ	eng	Hamilton's thryssa
56NJQ	eng	Longjaw thryssa
56NJQ	eng	Oblique-jaw thryssa
56NJQ	eng	Oblique-jaw thryssa
56NJQ	eng	Thryssa
7BXLG	eng	Chefoo thryssa
56NHX	eng	Dussumier's anchovy
56NHX	eng	Dussumier's anchovy
56NHX	eng	Dussumier's thryssa
56NHX	eng	Dussumier's thryssa
56NHX	eng	Dussumier's thryssa
56NHX	eng	Hamilton's thryssa
56NHX	eng	Long anchovy
56NHX	eng	Moustached thryssa
56NHX	eng	Thryssa
56NHP	eng	Anchovy
56NHP	eng	Baelama anchovy
56NHP	eng	Baelama anchovy
56NHP	eng	Baelama anchovy
56NHP	eng	Baelama anchovy
56NHP	eng	Dussumier's thryssa
56NHP	eng	False baelama anchovy
56NHP	eng	Hairfin anchovy
56NHP	eng	Little Priest
56NHP	eng	Little priest
56NHP	eng	Little priest
56NHP	eng	Little priest
56NHP	eng	Little priest
56NHP	eng	Short-jawed anchovy
56NHP	eng	Thryssa
56NHJ	eng	Swatow thryssa
56NHM	eng	Estuarine thryssa
56NHM	eng	Estuarine thryssa
56NHM	eng	Estuary anchovy
56NHM	eng	Short-tail thryssa
56NHM	eng	Snub-nosed anchovy
56NHM	eng	Snubnose thryssa
56NHM	eng	Southern anchovy
T5ZW	eng	Anchoveta
T5ZW	eng	Anchoveta
T5ZW	eng	Anchovy
T5ZW	eng	Pacific anchoveta
T5ZW	eng	Pacific anchovy
T5ZT	eng	Anchovy
T5ZT	eng	Anchovy
T5ZT	eng	Anchovy
T5ZT	eng	Atlantic Anchoveta
T5ZT	eng	Atlantic anchoveta
T5ZT	eng	Atlantic anchoveta
T5ZT	eng	Bocon
T5ZT	eng	Sardine
T5ZT	eng	Tarpon fry
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Toothless anchovy
T5ZT	eng	Whalebone anchovy
T5ZT	eng	Whalebone anchovy
DLRX	eng	Anchovy
DLRX	eng	Broadhead anchovy
DLRX	eng	Grubber broadhead
DLRX	eng	Zabaleta Anchovy
DLRX	eng	Zabaleta anchovy
DLRX	eng	Zabaleta anchovy
DLRX	eng	Zabaleta anchovy
66LMX	eng	Anchovy
66LMX	eng	Bigscale anchovy
66LMX	eng	Bigscale anchovy
DLST	eng	Anchovy
DLST	eng	Surinam anchovy
DLST	eng	Surinam anchovy
3WNNM	eng	Anchovy
3WNNM	eng	Sabertooth thryssa
3WNNM	eng	Sabretoothed thryssa
3WNNM	eng	Sabretoothed thryssa
3WNNM	eng	Thryssa
3QV5D	eng	Jurua anchovy
4X2WX	eng	Burma hairfin anchovy
4X2WX	eng	Scaly hairfin anchovy
4X2WN	eng	Humpback hairfin anchovy
4X2WN	eng	Humpback hairfin anchovy
4X2WK	eng	Dusky hairfin anchovy
4X2WK	eng	Dusky-hairfin anchovy
4X2WK	eng	Dusky-hairfin anchovy
4X2WK	eng	Hairfin anchovy
4X2WQ	eng	Gangetic anchovy
4X2WQ	eng	Gangetic hairfin anchovy
4X2WQ	eng	Gangetic hairfin anchovy
4X2WQ	eng	Gangetic hairfin anchovy
4X2WQ	eng	Gangetichairfin anchovy
4X2WQ	eng	Hairfin anchovy
4X2WQ	eng	Long-finned gangetic anchovy
4X2WD	eng	Gangetic hairfin anchovy
4X2WD	eng	Short-hairfin anchovy
4X2WD	eng	Short-hairfin anchovy
4X2WS	eng	Common hairfin anchovy
4X2WS	eng	Hair-fin anchovy
4X2WS	eng	Hairfin anchovy
4X2WS	eng	Hairfin anchovy
4X2WS	eng	Hairfin anchovy
4X2WS	eng	Hairfin anchovy
4X2WS	eng	Scaly hairfin anchovy
4X2WS	eng	Scaly hairfin anchovy
4X2WS	eng	Scaly hairfin anchovy
4X2WV	eng	Common hairfin anchovy
4X2WV	eng	Common hairfin anchovy
4X2WV	eng	Common hairfin anchovy
4X2WV	eng	Common hairfin anchovy
4X2WV	eng	Godavari anchovy
4X2WV	eng	Hairfin anchovy
4X2WV	eng	Hairfin anchovy
4X2WV	eng	Longfin anchovy
4X2WV	eng	Scaly hairfin anchovy
4X2WV	eng	Scaly hairfin anchovy
4X2WC	eng	Hairfin anchovy
4X2WC	eng	Shorthead hairfin anchovy
4X2WC	eng	Shorthead hairfin anchovy
4CLMW	eng	Bareback anchovy
4CLMW	eng	Little anchovy
4CLMW	eng	Littlefin anchovy
4CLMW	eng	Littlefin anchovy
WWGF	eng	Anchovies
WWGF	eng	Osbeck's grenadier anchovy
WWGF	eng	Phoenix-tailed anchovy
WWGN	eng	Anchovy
WWGN	eng	Frill-tailed golden anchovy
WWGN	eng	Ramcarat grenadier anchovy
WWGN	eng	Ramcarat grenadier anchovy
WWGN	eng	Taper-tail anchovy
WWGN	eng	Tapertail anchovy
WWG2	eng	Cooman's grenadier anchovy
WWG2	eng	Cooman's grenadier anchovy
WWG2	eng	Grenadier anchovy
WWG3	eng	Anchovy
WWG3	eng	Gold spotted gernadier anchovy
WWG3	eng	Gold spotted grenadier anchovy
WWG3	eng	Gold-spotted grenadier anchovy
WWG3	eng	Golden anchovy
WWG3	eng	Goldspotted grenadier anchovy
WWG3	eng	Goldspotted grenadier anchovy
WWG3	eng	Grenadier anchovy
WWG6	eng	Gray's grenadier anchovy
WWG6	eng	Long-tailed anchovy
WWG6	eng	Osbeck's grenadier anchovy
WWG6	eng	Pointed-tailed anchovy
WWG8	eng	Grenadier anchovy
WWG8	eng	Lindman's grenadier anchovy
WWG8	eng	Lindman's grenadier anchovy
WWFW	eng	Yangtse grenadier anchovy
WWFV	eng	Bornean grenadier anchovy
WWFV	eng	Bornean grenadier anchovy
WWFV	eng	Grenadier anchovy
WWGS	eng	Korua granadier anchovy
WWGS	eng	Korua grenadier anchovy
WWGS	eng	Nil
WWGS	eng	Reynald's grenadier anchovy
WWGQ	eng	Grenadier anchovy
WWGQ	eng	Many-fingered grenadier anchovy
WWGQ	eng	Many-fingered grenadier anchovy
WWGH	eng	Grenadier anchovy
WWGH	eng	Neglected grenadier anchovy
DKSC	eng	Anchovy
WWGH	eng	Neglected grenadier anchovy
WWGH	eng	Osbeck's grenadier anchovy
WWGH	eng	Whitehead's grenadier anchovy
WWGG	eng	Anchovies
WWGG	eng	Estuarine tapertail anchovy
WWGG	eng	Japanese grenadier anchovy
WWGG	eng	Osbeck's grenadier anchovy
WWG9	eng	Longjaw grenadier anchovy
WWG9	eng	Longjaw grenadier anchovy
WWG9	eng	Tapertail anchovy
DKSV	eng	Anchovy
DKSV	eng	Big-eye anchovy
DKSV	eng	Bigeye Anchovy
DKSV	eng	Bigeye anchovy
DKSV	eng	Bigeye anchovy
DKSV	eng	Longnose anchovy
DKSV	eng	Longnose anchovy
DKSV	eng	Longnose anchovy
DKS7	eng	Chame Point anchovy
DKS9	eng	Broad-striped anchovy
DKS9	eng	Narrow-striped anchovy
DKS9	eng	Narrow-striped anchovy
DKS9	eng	Narrowstriped anchovy
DKSD	eng	Anchovy
3WJHF	eng	Anchovy
DKSD	eng	Slough anchovy
DKSD	eng	Slough anchovy
DKSF	eng	Eigenmann's anchovy
DKSC	eng	Short anchovy
DKSC	eng	Short anchovy
66LXB	eng	Anchovy
66LXB	eng	Deep body anchovy
66LXB	eng	Deepbody anchovy
DKS8	eng	Bermuda anchovy
DKS8	eng	Hog-mouth fry
DKS8	eng	Hogmouth fry
DKS8	eng	Hogmouth fry
DKS8	eng	Hogmouth fry
DKS8	eng	White fray
DKS8	eng	White fry
DKSG	eng	Anchovy
DKSG	eng	Slender anchovy
DKSG	eng	Slender anchovy
DKSG	eng	Thin anchovy
DKSB	eng	Cuban anchovy
DKSB	eng	Cuban anchovy
DKSB	eng	Cuban anchovy
DKSB	eng	Cuban anchovy
DKS4	eng	Anchovy
DKS4	eng	Regan's anchovy
DKS4	eng	Silverstripe anchovy
DKS6	eng	Anchovy
DKS6	eng	Key Anchovy
DKS6	eng	Key anchovy
