dwc:taxonID	dcterms:language	dwc:vernacularName
3G6NT	eng	purple ocean slug
3G6NT	eng	sea swallow
34QZD	eng	bushy-backed nudibranch
34QZD	eng	bushy-backed sea slug
34QZD	eng	frond eolis
34QZD	eng	frond-aeolis
34QZV	eng	robust frond-aeolis
37HGJ	eng	feathered doto
37HF2	eng	coronate doto
37HF2	eng	crown doto
37HF2	eng	crowned doto
47V72	eng	iridescent nudibranch
4W58C	eng	Sargassum slug
4W58C	eng	sargassum nudibranch
72X9W	eng	lion nudibranch
72WY7	eng	cowled nudibranch
68PL6	eng	gas flame nudibranch
5DKMQ	eng	circular scallop
CR7K	eng	Atlantic strawberry-cockle
6B2TY	eng	heart cockle
6B2TY	eng	true heart cockle
6JLKV	eng	strawberry cockle
368RM	eng	Atlantic giant cockle
3RVBQ	eng	giant Pacific eggcockle
3RVBQ	eng	giant eggcockle
3RVBY	eng	morton eggcockle
3RVBY	eng	yellow eggcockle
3RVBP	eng	Norway cockle
3RVBP	eng	Norwegian cockle
3RVC3	eng	oblong cockle
3WTN2	eng	lyre cockle
7D4BJ	eng	devil clam
58NJ5	eng	giant clam
58NJ5	eng	killer clam
58NJG	eng	fluted clam
58NJG	eng	fluted giant clam
58NJG	eng	giant clam
58NJG	eng	giant fluted clam
58NJG	eng	scaly clam
58NJ9	eng	elongate clam
58NJ9	eng	elongated clam
58NJ9	eng	small giant clam
58NHY	eng	boring clam
58NHY	eng	crocus clam
58NHY	eng	crocus giant clam
58NHY	eng	saffron-coloured clam
58NHZ	eng	smooth giant clam
58NHZ	eng	southern giant clam
3M2TM	eng	bear paw clam
3M2TM	eng	bear's paw clam
3M2TM	eng	horse's hoof
3M2TM	eng	horses hoof
3M2TM	eng	horseshoe clam
3M2TM	eng	strawberry clam
3M2TP	eng	China clam
R67X	eng	costate cockle
R67X	eng	great ribbed cockle
VBRL	eng	Hairy cockle
VBRL	eng	Iceland cockle
6YL8D	eng	Greenland cockle
6YL8D	eng	Greenland smoothcockle
6YL8J	eng	Broad cockle
6YL8J	eng	Broad smoothcockle
H4YC	eng	dwarf tellin
4H69D	eng	foliated tellin
4H69D	eng	leafy tellin
68293	eng	blunt tellin
3FCR2	eng	ridged tellin
3WZYF	eng	petal tellin
3WZYF	eng	plain tellin
3WZYF	eng	thin tellin
5WP23	eng	red tellin
557SC	eng	salmon tellin
557W9	eng	rising sun
557W9	eng	sunrise tellin
6HM9V	eng	bean-like tellin
6HM9V	eng	semi-striated tellin
5586R	eng	striped tellin
5586R	eng	virgate tellin
4VZWV	eng	rasp tellin
3WZVW	eng	inflated macoma
3WZW7	eng	flat macoma
3WZTV	eng	chalky macoma
8SX2W	eng	Baltic macoma
8SX2W	eng	Baltic tellin
4XDMD	eng	rough razor clam
4XDMD	eng	squamate razor clam
4XDM7	eng	Pacific razor clam
6Z2HJ	eng	sunset razor clam
6Z2HJ	eng	sunset siliqua
4XDLV	eng	Alaska razor
4XDLX	eng	Atlantic razor
4XDLX	eng	Atlantic razor clam
3WCGK	eng	divaricate lucine
6QNYX	eng	smooth platter shell
3WCGW	eng	spinose lucine
WP9V	eng	Pacific tiger lucine
WP9V	eng	tiger lucine
3WCHF	eng	northern lucina
3WCHF	eng	northern lucine
675VD	eng	buttercup lucine
DJ3G	eng	smooth duckclam
7CPHW	eng	Pacific gaper clam
7CPHW	eng	horseneck clam
584FS	eng	fat gaper
584FS	eng	fat gaper clam
3WGJ9	eng	oblong otter clam
3WGJ9	eng	oblong otter shell
3WGH4	eng	narrow otter shell
3WGJ3	eng	common otter clam
3WGJ3	eng	common otter shell
3WGJ3	eng	otter shell
3XDKH	eng	winged surfclam
3XDKK	eng	mature surfclam
4XFQW	eng	hatchet surfclam
3XDL6	eng	California surfclam
3XDL6	eng	Californian mactra
4VN6K	eng	angular surf clam
4RF6D	eng	Atlantic rangia
4RF6D	eng	common rangia
4RF6D	eng	wedge clam
3XDL2	eng	Arctic surf clam
3XDL2	eng	Arctic surfclam
BX7T	eng	live oak kermes
3XDL2	eng	Pink-necked clam
44JYJ	eng	dwarf surfclam
4Z973	eng	Sakhalin surf clam
4Z973	eng	Sakhalin surfclam
4Z973	eng	hen clam
4Z977	eng	Atlantic surf clam
4Z977	eng	Atlantic surfclam
4Z977	eng	bar clam
4Z977	eng	solid surfclam
4Z976	eng	bar clam
4Z976	eng	solid surf clam
4Z976	eng	surf clam
4Z976	eng	thick surfclam
4Z976	eng	thick trough shell
4Z96L	eng	elliptic trough shell
4Z96L	eng	elliptical surfclam
4Z96L	eng	elliptical trough shell
4Z979	eng	cut surfclam
4Z979	eng	cut trough shell
4Z979	eng	subtruncate surf clam
3XDJ2	eng	rayed trough clam
3XDJ2	eng	rayed trough shell
3XDJ2	eng	white trough clam
3XDJ2	eng	white trough shell
733X7	eng	Chinese surf clam
733X7	eng	Sunray surf clam
3XDCJ	eng	smooth mactra
3XDCJ	eng	smooth trough shell
3FK9C	eng	amethyst gemclam
3DQW8	eng	Short-snouted callista
3V5G4	eng	camp pitar-venus
3V5G4	eng	chocolate flamed venus
3V5G4	eng	tent clam
3V5G4	eng	zigzag venus
PTL4	eng	red callista
PTL4	eng	red venus
PTL4	eng	reddish callista
PTKR	eng	brown callista
PTKR	eng	brown venus
PTKR	eng	cock
PTKR	eng	smooth callista
PTKR	eng	smooth venus
6VMC3	eng	lightning pitar
579GL	eng	streaked sand clam
579HJ	eng	Pismo clam
6QZMV	eng	hard clam
6QZMV	eng	lyrate Asiatic hard clam
6QZMV	eng	lyrate hard clam
6QZMV	eng	white clam
3ZTQ9	eng	Asian hard clam
3ZTQ9	eng	Japanese hard clam
3ZTQ9	eng	common oriental clam
3ZTQ9	eng	hamaguri
5Z6XC	eng	script venus
6JWF3	eng	forked venus
59R5P	eng	minute turton
4FDSH	eng	American piddock
4FDSH	eng	false angelwing
4FDQX	eng	boring petricola
32TC9	eng	thin cyclinella
37G8Q	eng	old-woman dosinia
37G9H	eng	elegant dosinia
37GD6	eng	Dosinia clam
6DK9Q	eng	rayed artemis
6DK9Q	eng	rayed dosinia
37GCD	eng	smooth artemis
37GCD	eng	smooth dosinia
6DK9Y	eng	disk dosinia
3CCSL	eng	beaked clam
4TMNJ	eng	Japanese carpet shell
4TMNJ	eng	Japanese clam
4TMNJ	eng	Japanese littleneck
4TMNJ	eng	Japanese littleneck clam
4TMNJ	eng	Manila clam
4TMNJ	eng	Manilla clam
4TMNJ	eng	short-necked clam
4TMNH	eng	chequered carpet shell
4TMNH	eng	chequered carpetclam
4TMNH	eng	chequered venus
4TMNH	eng	grooved carpet shell
4KYMF	eng	banded carpet shell
4KYMF	eng	banded carpetclam
4KYMF	eng	banded venus
6TQCS	eng	native cochineal
6TQCS	eng	native shellac
4KYMC	eng	golden carpet shell
4KYMC	eng	golden carpetclam
4KYMC	eng	golden venus
3Q2KJ	eng	irus clam
7FM9J	eng	corrugated venus
45N29	eng	leaf kermes
744LM	eng	Iselin's kermes
3R664	eng	Oak globular scale
3R665	eng	Nawa globular scale
3R66D	eng	chinquapin kermes
3R669	eng	black-punctured kermes
3R65L	eng	Mediterranean scale
3R672	eng	bark-crevice kermes
3R674	eng	English oak kermes
3R66V	eng	kermes berry
3R66V	eng	striped kermes
3R678	eng	cottony kermes
