ppn,maa2,jvu,titel,deeltitel,editie,impressum,epn,copy_counter,sgn,mms_id_item,item_policy,mms_id_holding,mms_id,kmc4821,kmc4850
843847387,Ab,1984,@Verslag ... / Stichting voor de Nederlandse Archeologie,,,Amersfoort : SNA,018060021,2,T 8165,23413429440007151,Reading room,22413429450007151,991029082859707151,,
843905751,Aa,1984,Het @heidendom waar Liudger onder de Friezen mee te maken kreeg / H. Halbertsma,,,[Amersfoort] : ROB,097558990,1,GE 80189/224-1,23359382580007151,Reading room,22359382590007151,991029107249707151,,
84390612X,Aa,1984,@Mittelalterliche Seedeiche im Holländischen Küstengebiet / Daan P. Hallewas,,,[Amersfoort] : ROB,097559113,1,GE 80189/223-1,23374927690007151,Reading room,22374927710007151,991029107619707151,,
843906995,Aa,1984,De @ledervondsten en de klomp van de Voorst / O. Goubitz,,,[Amersfoort] : ROB,097559318,1,GE 80189/221-1,23410682070007151,Reading room,22410682080007151,991029108589707151,,
843907614,Aa,1984,@Gegeten en gedronken... : een onderzoek naar de dierlijke resten van de Voorst / G.F. IJzereef,,,[Amersfoort] : ROB,097559474,1,GE 80189/222-1,23422216040007151,Reading room,22422216050007151,991029109419707151,,
843907738,Aa,1984,Het @kasteel Voorst : opgravingsplattegrond en reconstructies ; Vondsten uit de Voorst / A.D. Verlinde,,,[Amersfoort] : ROB,097559512,1,GE 80189/220-1,23422172570007151,Reading room,22422172580007151,991029109759707151,,
843988886,Aa,1984,@Oudheden in het Bonnefantenmuseum / gered. door I.L. Szénássy,,,Maastricht : Bonnefantenmuseum,018023088,1,4626 F 28,23363474950007151,Reading room,22363474960007151,991029162039707151,,
843988886,Aa,1984,@Oudheden in het Bonnefantenmuseum / gered. door I.L. Szénássy,,,Maastricht : Bonnefantenmuseum,097567507,2,NX 1984/152,23363474930007151,Reading room,22363474940007151,991029162039707151,,
844095729,Aa,1984,"@Early-medieval Dorestad, an archaeo-petrological study / Hendrik Kars",,,[S.l. : s.n.],09757953X,1,NA 1984/1593,23389554310007151,Reading room,22389554340007151,991029243889707151,,
844095729,Aa,1984,"@Early-medieval Dorestad, an archaeo-petrological study / Hendrik Kars",,,[S.l. : s.n.],018079938,2,6192 F 3,23389554350007151,Reading room,22389554360007151,991029243889707151,,
844165867,Ab,1974-1994,@Archeologische kroniek ... / Gemeente Utrecht,,,Utrecht : De Boer-Cuperus,097591173,1,JD 1685,23434683640007151,Reading room,22434683650007151,991029307909707151,,
844165867,Ab,1974-1994,@Archeologische kroniek ... / Gemeente Utrecht,,,Utrecht : De Boer-Cuperus,219232725,2,MCT 800,23434683660007151,Reading room,22434683670007151,991029307909707151,,
844166251,Aa,1984,Het @spoor der beschaving : de archeologie van de prehistorie / John A.J. Gowlett ; met een voorw. door H.T. Waterbolk ; [vert. uit het Engels: Minze bij de Weg ; bew.: D. Stapert ... et al.],,,Amsterdam [etc.] : Elsevier,097591238,1,NE 1984/1374,23396817550007151,Reading room,22396817560007151,991029308389707151,,
850087899,Aa,1984,@Archeologie in troebel water : een nieuwe werkwijze voor scheepsonderzoek : twee schepen onderzocht / Th.J. Maarleveld,,,"Rijswijk : Ministerie van Welzijn, Volksgezondheid en Cultuur",01804607X,1,NL 98 A 8001,23460731100007151,Reading room,22460731110007151,991029537719707151,,
850087899,Aa,1984,@Archeologie in troebel water : een nieuwe werkwijze voor scheepsonderzoek : twee schepen onderzocht / Th.J. Maarleveld,,,"Rijswijk : Ministerie van Welzijn, Volksgezondheid en Cultuur",097631949,2,4010240,23460731120007151,Reading room,22460731130007151,991029537719707151,,
